i	j	dist	alignment
8	1	0.02813852813852814	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')'], 1: ['261', ' ', 'lincoln', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '576986694649', ' ', '-', '74', '.', '104670051676', ')']}
7	5	0.03409090909090909	{7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')'], 5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')']}
8	4	0.024242424242424242	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')'], 4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')']}
9	8	0.03787878787878787	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')']}
8	7	0.015151515151515154	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')'], 7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
9	4	0.053030303030303025	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 4: ['330', ' ', 'bard', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636153116782', ' ', '-', '74', '.', '106852177363', ')']}
9	2	1	
9	9	0.0	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')']}
9	6	0.06836219336219336	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 6: ['395', ' ', 'victory', ' ', 'boulevard', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '632670281', ' ', '-', '74', '.', '086832124013', ')']}
8	8	0.0	{8: ['20', ' ', 'court', ' ', 'street', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '627181943848', ' ', '-', '74', '.', '080839881225', ')']}
9	7	0.045454545454545456	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 7: ['280', ' ', 'beach', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606674000105', ' ', '-', '74', '.', '162401000006', ')']}
9	3	0.04924242424242425	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 3: ['137', ' ', 'heberton', ' ', 'avenue', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '636779419508', ' ', '-', '74', '.', '131313349744', ')']}
9	5	0.05833333333333333	{9: ['7', ' ', 'benton', ' ', 'court', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '558379717025', ' ', '-', '74', '.', '136561398842', ')'], 5: ['1950', ' ', 'clove', ' ', 'road', ' ', 'staten', ' ', 'island', ' ', 'ny', ' ', '(', '40', '.', '606004051169', ' ', '-', '74', '.', '0866151394', ')']}
